Tool Name,Location,Year,Tracks,Speakers,Github URL,Description,Path
UYR,Asia,2015,Malware Offense,Ali Hadi,https://github.com/mariam118/uyr,Under Your Radar (UYR) is a new application layer covert channel. It applies multimedia steganographic techniques to hide a secret message. UYR could also be used for data exfiltration and go totally under the radar and bypass monitoring and detection systems due to its novelty way of communication.UYR in its current version could be used for:Secret CommunicationsExfiltrating Text Files (ASCII)Exfiltrating Other Small Binary FilesThe novelty behind UYR is that in reality you're not transferring any messages or text; you're only transferring a KEY!,tools/Asia/2015/uyr.json
YSO Mobile Security Framework,Asia,2015,"Android, iOS and Mobile Hacking",Ajin Abraham,https://github.com/torque59/YSO-Mobile-Security-Framework,"YSO Mobile Security Framework is an intelligent, all-in-one open source mobile application (Android/iOS) automated pen-testing framework capable of performing static and dynamic analysis. We've been depending on multiple tools to carry out reversing, decoding, debugging, code review, and pen-test and this process requires a lot of effort and time. YSO Mobile Security Framework can be used for effective and fast security analysis of Android APK/Android app source code/iOS app source code. The static analyzer is able to perform automated code review, detect insecure permissions and configurations, and detect insecure code like ssl overriding, ssl bypass, weak crypto, obfuscated codes, permission bypasses, hardcoded secrets, improper usage of dangerous APIs, leakage of sensitive/PII information, and insecure file storage. The dynamic analyzer runs the application in a VM and detects the issues at run time. Further analysis is done on the captured network packets, decrypted HTTPS traffic, application dumps, logs, error or crash reports, debug information, stack trace, and the application assets like files, preferences, and databases. This framework is highly scalable that you can add your custom rules with ease. We will be extending this framework to support other mobile platforms like Tizen, Windows phone etc. in future. A quick and clean report can be generated at the end of the tests.",tools/Asia/2015/yso-mobile-security-framework.json
Android Tamer,Asia,2016,,Anant Shrivastava,,"Android Tamer is a Virtual/Live Platform for Android Security professionals. This reduces the needs to configure your own environment and professional can focus on exploitation. This Environment allows people to work on large array of android security related task's ranging from Malware Analysis, Penetration Testing and Reverse Engineering. Large number of tweaks and automations are build inside the Virtual Machine to make life easy for the User.",tools/Asia/2016/android-tamer.json
BTA: An Open-Source Active Directory Security Audit Framework,Asia,2016,Data Forensics/Incident Response,Joffrey Czarny,https://github.com/airbus-seclab/bta,"When it comes to the security of the information system, Active Directory domain controllers are, or should be, at the center of concerns, which are (normally) to ensure compliance with best practices, and during a compromise proved to explore the possibility of cleaning the information system without having to rebuild Active Directory. Indeed, backdoors can be implemented in Active Directory to help an intruder to gain back his privileges. However, few tools implement this cleaning/survey process despite several ways existing for backdooring Active Directory. We propose to present some possible backdoors which could be set by an intruder in Active Directory to keep administration rights. For example, how to modify the AdminSDHolder container in order to reapply rights after administrator actions. Then, we will present BTA, an audit tool for Active Directory databases, and our methodology for verifying the application of good practices and the absence of malicious changes in these databases. One of example, that we will show, is how to spot accounts which have DCSync rights and pulls account credentials through the standard Domain Controller replication API.The presentation will be organized as follows:We begin by describing the stakes around the Active Directory, centerpiece of any information system based on Microsoft technologies. We will continue by demonstrating some backdoors in order to keep admins rights or to help an intruder to quickly recover admins rights. We will present BTA and the methodology developed to analysis Active Directory. We conclude with a feedback on real world usage of BTA.More information can be found on the Bitbucket repository: https: //bitbucket.org/iwseclabs/bta",tools/Asia/2016/bta-an-open-source-active-directory-security-audit-framework.json
CrackMapExec,Asia,2016,,Marcello Salvati,https://github.com/byt3bl33d3r/CrackMapExec,"CrackMapExec aims to be a one-stop-shop for pentesting Active Directory environments! Think smbexec on steroids, combining the latest and greatest techniques for AD ownage in a single tool! From enumerating logged on users and spidering SMB shares to executing psexec style attacks, concurrently auto-injecting Mimikatz/Shellcode/DLL's into memory using Powershell, dumping the NTDS.dit, querying and executing commands through MSSQL DB's and more! The biggest improvements over the current tools are:",tools/Asia/2016/crackmapexec.json
Faraday,Asia,2016,,Emilio Couto,https://github.com/infobyte/faraday,"Since collaborative pentesting is more common each day and teams become larger, sharing the information between pentesters can become a difficult task. Different tools, different formats, long outputs (in the case of having to audit a large network) can make it almost impossible. You may end up with wasted efforts, duplicated tasks, a lot of text files scrambled in your working directory. And then, you need to collect that same information from your teammates and write a report for your client, trying to be as clear as possible. The idea behind Faraday is to help you to share all the information that is generated during the pentest, without changing the way you work. You run a command, or import a report, and Faraday will normalize the results and share that with the rest of the team in real time. Faraday has more than 50 plugins available (and counting), including a lot of common tools. And if you use a tool for which Faraday doesn't have a plugin, you can create your own. During this presentation we're going to show you the latest version of the tool, and how it can be used to improve the effectiveness of your team during a penetration test.",tools/Asia/2016/faraday.json
HackSys Extreme Vulnerable Driver,Asia,2016,Exploitation and Ethical Hacking,Ashfaq Ansari,https://github.com/hacksysteam/HackSysExtremeVulnerableDriver,"HackSys Extreme Vulnerable Driver is an intentionally vulnerable Windows Kernel driver developed for security enthusiasts to learn and polish their exploitation skills. HackSys Extreme Vulnerable Driver caters to a wide range of vulnerabilities ranging from simple Buffer Overflow to complex Use After Free, Pool Overflow, Type Confusion and Arbitrary Memory Overwrite. This allows researchers to explore different exploitation techniques for every implemented vulnerabilities. HackSys Extreme Vulnerable Driver also comes with the mitigation for each implemented vulnerability which helps kernel driver developers understand how these mitigations are applied. Source Code: https://github.com/hacksysteam/HackSysExtremeVulnerableDriver Blog: http://www.payatu.com/hacksys-extreme-vulnerable-driver/",tools/Asia/2016/hacksys-extreme-vulnerable-driver.json
Halcyon IDE - Unofficial IDE for Nmap Script Development,Asia,2016,Code Assessment,Sanoop Thomas,https://github.com/s4n7h0/Halcyon-IDE,"Halcyon is the first unofficial IDE for Nmap script development. The existing challenge in developing Nmap Scripts (NSE) is the lack of an IDE that gives easiness in building custom scripts for real world scanning. Halcyon is free to use, java based application that has code intelligence, code builder, auto-completion, debugging and error correction and a bunch of other features similar like other development IDE(s) for traditional programming languages. This research was started to give better development interface/environment to researchers and thus enhance the number of NSE writers in the community. Halcyon IDE can understand Nmap library and traditional LUA syntax as well. At the same time it also comes with an offline Nmap wiki that helps Nmap script writers an easy way to access development library references. Possible repetitive codes such as web crawling, bruteforcing etc., is pre-built in the IDE and this makes easy for script writers to save their time while development majority of test scenarios. The IDE gives options to debug the code, make code error free, export the code to the library and several other pre/post development tasks from within the same interface itself.",tools/Asia/2016/halcyon-ide-unofficial-ide-for-nmap-script-development.json
Janus,Asia,2016,"Android, iOS and Mobile Hacking",Chen Yexuan; Tang Zhushou,,"Janus is feedback-driven, interactive Android security analysis platform that facilitates a collection of advanced security analysis tools with the capabilities from vulnerability discovery to malicious application detection. Its main purpose is to enable large scale Android application security analysis by integrating automated, customizable analysis results and human interventions. Specifically, Janus works as follows. First, Janus leverages lightweight malware scanners, similarity detection tools, and vulnerability detection tools to help researchers diagnose whether a given Android application is malicious or vulnerable. Next, Janus provides a set of tools to perform more fine-grained and heavier analyses, including dynamic taint analysis, program slicing, and machine learning, etc. In particular, security researchers are involved in this phase. By integrating these automated analyses and human interventions, Janus will confirm the detection results, filter false positives, and also extract the features of the application. These features will be used to guide subsequent analyses to quickly find similar vulnerabilities or malicious applications. We will demonstrate Janus with a number of real world malicious and vulnerable applications.",tools/Asia/2016/janus.json
Limon - Sandbox for Analyzing Linux Malwares,Asia,2016,Malware Defense,Monnappa K A,https://github.com/monnappa22/Limon,"Limon is a sandbox for automating Linux malware analysis. It collects, analyzes, and reports on the run time indicators of Linux malware. It allows one to inspect the Linux malware before execution, during execution, and after execution (post-mortem analysis) by performing static, dynamic and memory analysis using open source tools. Limon analyzes the malware in a controlled environment, monitors its activities and its child processes to determine the nature and purpose of the malware. It determines the malware's process activity, interaction with the file system, network, it also performs memory analysis and stores the analyzed artifacts for later analysis. For more information, please visit this blog post on Limon: http://malware-unplugged.blogspot.in/2015/11/limon-sandbox-for-analyzing-linux.html; the download link is also available on GitHub: https://github.com/monnappa22/Limon.",tools/Asia/2016/limon-sandbox-for-analyzing-linux-malwares.json
pDNSego,Asia,2016,,Christian Heinrich; Paul Vixie; Daniel Cuthbert,,"Passive DNS (pDNS) provides near real-time detection of cache poisoning and fraudulent changes to domains registered for trademarks, etc by answering the following questions:",tools/Asia/2016/pdnsego.json
Pocsuite,Asia,2016,Vulnerability Assessment,Zhang Zuyou,https://github.com/knownsec/pocsuite3,"Pocsuite is an open-source remote vulnerability testing framework developed by the Knownsec Security Team. Written in Python and supported both validation and exploitation two plugin-invoked modes, Pocsuite could import batch targets from files and test them against multiple exploit-plugins in advance. There are two ways to work with Pocsuite: configuring exploit-required arguments and running in console-based modes; and handling the output from steps in interactive modes. Besides, it could display output in a human-friendly graph providing more useful information for pentesters. Like Metasploit, it is a development kit for pentesters to develop their own exploits. Users could utilize some auxiliary modules packaged in Pocsuite to extend their exploit functions or integrate Pocsuite to develop other vulnerability assessment tools. At last, Pocsuite is also an extremely useful tool to integrate Seebug and ZoomEye APIs in a collaborative way. Vulnerability assessment can be done automatically and effectively by searching targets through ZoomEye and acquiring PoC scripts from Seebug or locally.",tools/Asia/2016/pocsuite.json
Rudra: The Destroyer of Evil,Asia,2016,Malware Offense,Ankur Tyagi,https://github.com/7h3rAm/rudra,"Rudra aims to provide a developer-friendly framework for exhaustive analysis of (PCAP and PE) files. It provides features to scan and generate reports that include file's structural properties, entropy visualization, compression ratio, theoretical minsize, etc. These details, alongwith file-format specific analysis information, help an analyst to understand the type of data embedded in a file and quickly decide if it deserves further investigation. Rudra is the only tool to provide an effective bot based query mechanism for scanning files. Users can use Twitter and mention a Pastebin link that stores the base64 encoded version of the file to be scanned. It will pull the file from Pastebin, perform base64 decoding, initiate scanning on decoded file, submit base64 encoded json report to Pastebin and post a reply tweet with its link. This provides a quick and effective option to try Rudra without installing it. Rudra supports scanning PE files and can perform API scans, anti{debug, vm, sandbox} detection, packer detection, authenticode verification, alongwith Yara, shellcode, and regex detection upon them. Additionally, following new features are being added for the first beta release:Interactive console providing access to all internal data structures and objects, exposing a rich API for usersPlugin architecture to operate upon decoded file content (usecases might be to write a decoder for a new RAT found in the wild or to write a custom unpacker for a binary stub, etc.)Extracting subfiles and optionally scanning them if neededHeuristics to identify suspicious network flows and exe filesThe report for each analyzed file can be dumped to disk as a JSON/HTML/PDF. If needed, analysis can be customized via CLI arguments, config file, or interactive console. Rudra also supports protocol identification, decoding, and normalization. It can analyze embedded URLs and IP addresses within files and gather whois/geolocation information for them. Users can view live mapping of identified hosts and correlate the results from different analysis modules to perform deeper investigation.",tools/Asia/2016/rudra-the-destroyer-of-evil.json
SAIVS (Spider Artificial Intelligence Vulnerability Scanner),Asia,2016,Web AppSec,Isao Takaesu; Takeshi Terada,https://github.com/13o-bbr-bbq/SAIVS,"SAIVS is an artificial intelligence to find vulnerabilities in Web applications. The goal of SAIVS is to find vulnerabilities like a human security engineer. In January 2016, We developed the beta SAIVS. Beta SAIVS has the following capabilities:It can crawl simple Web applications. SAIVS can crawl Web applications that include dynamic pages such as ""login,"" ""create account"" and ""information search"".It can find for vulnerabilities. SAIVS can find vulnerabilities such as ""Cross Site Scripting"" and ""SQL Injection"".It can output a scanning report. SAIVS can output a scanning report. The report includes target URLs and location of the found vulnerabilities.SAIVS can also perform the following human-like actions: ""SAIVS recognizes the type of the page. If it crawls the login page without having a login credential, it creates login credential in the create account page. After it log in with the created login credentials, it crawls the rest of the pages and scans for vulnerabilities. When it finishes all pages, it outputs a scanning report."" SAIVS uses machine learning algorithms such as Naive Bayes, Q-Learning, Multi-layer Perceptron in order to achieve one of the aforementioned capabilities: It can crawl simple Web applications. Our session will explain how this ability was made possible by the machine learning algorithms.",tools/Asia/2016/saivs-spider-artificial-intelligence-vulnerability-scanner.json
SecBee,Asia,2016,Internet Of Things,Tobias Zillner,https://github.com/Cognosec/SecBee,"SecBee is a ZigBee security testing tool. It is basically a kind of ZigBee vulnerability scanner, which allows the mapping of ZigBee networks and enables security testers and developers to check the actual product implementation for ZigBee specific vulnerabilities. Currently it supports direct and indirect ZigBee communication and provides features for command injection, scan for enabled devices, sniff network keys in plaintext and encrypted with the ZigBee default key and an insecure rejoin request. The tool is still under development and additional features are added. The final goal is to test for the correct application and implementation of every ZigBee security service.",tools/Asia/2016/secbee.json
Seebug,Asia,2016,Vulnerability Assessment,Zhong Chenming,https://www.seebug.org/,"Seebug is an open vulnerability platform based on vulnerability and PoC/Exp sharing communities. So far, it already has 50,000+ vulnerabilities and 40,000+ PoC/Exps.On this platform, users can submit new vulnerabilities or update information of existing ones that are lacking of details such as summaries, PoC/Exps, solutions, CVE-ID and other basic fields. In exchange, we will reward you with KBs, which can be used to buy other submissions (such as PoCs) or converted into RMB directly (1 KB is equivalent to RMB 5 Yuan currently). Seebug provides an opportunity for vulnerability learning. We plan to open BBS and CFP columns in the near future so that users can submit their technical articles, ideas, and communicate with each other on vulnerability mining issues. Besides, each vulnerability is accompanied by a lifeline, recording all the relevant events during this process and offering a complete picture about the vulnerability development course. With the help of ZoomEye, the latest vulnerabilities across the world can be detected timely and displayed on the vulnerability detail page. Based on the result, we can effectively conduct emergency response activities and provide online detection tools, affected vendor lists and early warning upon necessary.",tools/Asia/2016/seebug.json
SensePost Toolset,Asia,2016,OSINT - Open Source Intelligence,Daniel Cuthbert,https://github.com/sensepost,"The SensePost Toolset consists of numerous transforms and mini-sets of transforms. This includes OSINT, language translation, twitter monitoring, Spotify, Skype stalking and detailed in-depth foot-printing capabilities. Sense Post Toolkit: https://www.sensepost.com/discover/tools/maltego/osint/SPToolset/",tools/Asia/2016/sensepost-toolset.json
StackPivotChecker,Asia,2016,Malware Offense,Xiaoning Li; Haifei Li,,StackPivotChecker is a tool to provide instruction level inspection on stack pivoting behavior from 0-day. It provides rapid 0-day analysis capability. This lightweight tool to help research to address first stack pivoting point from complex 0-day execution path; it addressed real 0-day such as CVE-2013-0640.,tools/Asia/2016/stackpivotchecker.json
VirusTotal,Asia,2016,Malware Defense,Karl Hiramoto,https://github.com/virustotal,"VirusTotal is the free online file and URL scanner that everyone knows. However there are many free features that many users don't know about such as:A free public API for anyone to automate file or URL analysis.IP address and domain reputation. See malware files known to be associated with a particular IP address or domain, and history Passive DNS infoSearching on file hash, and related filesSysinternals, Carbon black, etc. integrationsStatic analysis of files, structural analysis of many file types (PE, ELF, APK, ZIP, RAR, MACHO, .NET, office, etc)Sandbox dynamic analysis of PE, APK, Apple Mach-O, and applications.ROMS, BIOS, and firmware filesSSDEEP, authentihash, imphash, and other similarity indexesCertificate checks on signed filesWhitelisting of trusted filesFree desktop scanning applications for Windows, MAC, and open source for compilation on linux.",tools/Asia/2016/virustotal.json
ZoomEye - CyberSpace Search Engine,Asia,2016,OSINT - Open Source Intelligence,Zhou Yang,https://www.zoomeye.org/,"ZoomEye is a cyberspace search engine released in 2013. Unlike Shodan which only crawls the port fingerprints of Internet-connected devices and does less work on fingerprint parsing, ZoomEye crawls on not only Internet-connected devices, but also websites to get the fingerprints. All of these fingerprints are powered by our two major engines Xmap and Wmap. Xmap is specialized to port scanning, and Wmap focuses on Web Application fingerprint crawling and parsing. We distribute the crawlers running 7/24 across the world, providing both host device and web application searches to the public by crawling and indexing. Users can also achieve integration and automation with our platform API.This talk covers a basic introduction on our crawling and analyzing architecture, some thoughts on scanning crawling strategies, and the major process on parsing and analyzing devices and website fingerprints. To better understand the complexity of the cyberspace, we work hard on fingerprint parsing and analysis to get more detailed and complete metadata. We think that more accurate and formatted data will do great help to our research. Besides, some cases will be demonstrated in comparison with Shodan and Censys.io to prove our strengths. The ZoomEye 101 section introduces how ZoomEye helps to enhance our research or do some hacking stuff. The audience will learn not only the revolution history of ZoomEye, but also some helpful Internet research methodologies.",tools/Asia/2016/zoomeye-cyberspace-search-engine.json
CellAnalysis,Asia,2017,Network Defense,Pedro Cabrera,https://github.com/pcabreracamara/cellanalysis,"CellAnalysis is a tool every pentester should add to his/her arsenal. Nowadays there are other tools intended to find fake cells (fake stations, IMSI Catchers, etc.), most of them use active monitoring; that is, they monitor traffic coming to the SIM card on a smartphone, so that only cell attacks are scanned on the same network as the SIM card. CellAnalysis offers a different approach, it performs a passive traffic monitoring, so it doesn’t require a SIM card or a mobile device, just an OsmocomBB phone or compatible device SDR (rtlsdr, usrp, hackrf or bladerf) to start monitoring all the frequencies of the GSM spectrum. Far from being an out-of-the-box tool, it has been developed using shell-scripting to make easier the code modification or the customization by the pentester, as well as the integration with other tools. SDR device or OsmocomBB phone connected to the computer running Linux will analyze the spectrum or a part of it, in search of cells and for each cell found, a quantitative and qualitative analysis of the information transmitted will be carried out. Alarms generation is not based on a scoring system, but each parameter chosen as a potential threat will generate an alarm if it is evaluated as such in the cell under study.",tools/Asia/2017/cellanalysis.json
Damn Vulnerable SS7 Network,Asia,2017,Network Attacks,Akib Sayyed,https://github.com/akibsayyed/safeseven,"Telecom network was closed for years but recent advancement in open source telecom opens new doors for telecom hacking. SS7 is core network protocol in 2G and 3G. Many people have proved that these network is insecure, but to date no proper tool or vulnerable network is available in the information security community. This talk will present security loopholes in SS7 network and will cover the SS7 Protocol security and the real telecom security penetration testing on the lab. The demonstration is prepared from real SS7 Penetration testing experience. During this demo I'm going to publish my SS7 Penetration testing tool that I've built for SS7 Assessment. The Damn vulnerable SS7 Network will also be available for information security community. The talk will first present the basics of this vulnerability including: information leaks, denial of service, toll and billing fraud, privacy leaks and SMS fraud. Attendees will able to understand the basics of the SS7 network and tool usage and in additional; attendees will also understand the different type of attacks in the SS7 network. Here are some attacks supported by this tool: Subscriber privacy leaksBilling fraudsDenial of service attacksRevenue FraudsIdentity impersonation attacksIntercepting incoming servicesIllegal redirects",tools/Asia/2017/damn-vulnerable-ss7-network.json
HaboMalHunter: An Automated Malware Analysis Tool for Linux ELF Files,Asia,2017,Malware Defense,Jingyu Yang; Zhao Liu,https://github.com/Tencent/HaboMalHunter,"HaboMalHunter is an automated malware analysis tool for Linux ELF files, which is a sub-project of Habo Analysis System independently developed by Tencent Antivirus Laboratory. It can comprehensively analyze samples from both static information and dynamic behaviors, trigger and capture behaviors of the samples in the sandbox and output the results in various formats. The generated report reveals significant information about process, file I/O , network and system calls. Recently, HaboMalHunter has opened its source code under the MIT license, aimed to share and discuss the automatic analysis technology with researchers alike. The project applies digital forensics techniques, such as kernel space system call tracing and memory analysis, and it emphasizes the importance of collaboration with mainstream security tools by making it easy to add third-party YARA rules and supporting the output of .mdb files that are hash-based signature of the ClamAV. The tool, by generating a .syscall file containing a system call number sequence, is also friendly to artificial intelligence research on malware classification and detection. HaboMalHunter has also been deployed and validated with a large-scale cluster at Tencent Antivirus Laboratory. With the processing ability of thousands of ELF malware samples per day, most of which are from the VirusTotal, HaboMalHunter helps security analysts extract static and dynamic features effectively and efficiently. We hope to present the technical architecture and the detailed implementation about HaboMalHunter and to demonstrate it with several typical real-world Linux malware samples. DOWNLOAD: https://github.com/Tencent/HaboMalHunter",tools/Asia/2017/habomalhunter-an-automated-malware-analysis-tool-for-linux-elf-files.json
LAMMA 1.0,Asia,2017,Cryptography,Ajit Hatti,https://github.com/smxlabs/LAMMA-beta,"LAMMA 1.0 is an attempt to create a Swiss-Army-Knife for security and quality Assessment of Cryptographic implementations. This major update of LAMMA has all new modules for testing trust stores, source code analysis and logical flaws in crypto-coding. LAMMA 1.0 with new features & fixes makes crypto-testing more effective and smoother even for large scale implementations. You can use and enhance LAMMA 1.0, as it's a FREE and OPEN SOURCE.",tools/Asia/2017/lamma-1-0.json
Maltego Have I Been Pwned?,Asia,2017,Human Factors,Christian Heinrich,https://github.com/cmlh/Maltego-haveibeenpwned,"""Have I been pwned?"" allows you to search across multiple data breaches to see if your email addresses or aliases has been compromised by Duowan, Taobao, Tianya, etc Maltego is a link analysis application of technical infrastructure and/or social media networks from disparate sources of Open Source INTelligence (OSINT). Maltego is listed on the Top 10 Security Tools for Kali Linux by Network World and Top 125 Network Security Tools by the Nmap Project. The integration of ""Have I been pwned?"" with Maltego presents these breaches in an easy to understand graph format that can be enriched with other sources of data.",tools/Asia/2017/maltego-have-i-been-pwned.json
MetasploitHelper Reloaded,Asia,2017,Web AppSec,Keith Lee; Maxwell Koh,https://github.com/milo2012/metasploitHelper,"MetasploitHelper was developed to assist penetration testers in internal engagements. There are a large number of exploits and modules that are available to penetration testers to use. However, it is often difficult and challenging for penetration testers to keep up to date with the latest exploits. MetasploitHelper tends to make things easier for testers by testing and matching Metasploit modules against open ports and URI paths on the target hosts. What's New! Better detection and matching for web application exploits in MetasploitExploit-DB is a very popular source of working exploits. Currently, there are more than 21,298 web application exploits available. The number of exploits for web applications are increasing at a very fast rate due to more applications being developed and used. We have added a parser for the web application exploits in Exploit-DB and added them to metasploitHelper and now you can scan and detect more exploitable vulnerabilities much easier.",tools/Asia/2017/metasploithelper-reloaded.json
